City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,port elizabeth,-33.918,25.5701,15.73,94,75,2.06,ZA,1726551450
213,merizo village,13.2658,144.6691,27.98,90,100,6.06,GU,1726551451
214,uturoa,-16.7333,-151.4333,25.86,84,97,3.18,PF,1726551452
215,weno,7.4515,151.8468,29.97,84,100,3.6,FM,1726551454
216,chul'man,56.8479,124.9104,2.5,84,100,5.17,RU,1726551456
217,piti village,13.4626,144.6933,27.85,88,75,3.09,GU,1726551457
218,nova sintra,14.8667,-24.7167,26.23,77,85,5.36,CV,1726551458
219,papao,-17.75,-149.55,25.82,85,85,3.83,PF,1726551459
220,pohang,36.0322,129.365,31.17,70,49,1.54,KR,1726551460
221,suva,-18.1416,178.4415,21.71,100,75,3.09,FJ,1726551462
222,igarka,67.4667,86.5833,8.41,64,32,5.42,RU,1726551464
223,nyurba,63.2842,118.3319,7.18,59,99,5.9,RU,1726551465
224,muli,2.9167,73.5667,28.71,75,11,5.84,MV,1726551466
225,barclayville,4.6797,-8.2339,24.11,90,100,1.41,LR,1726551467
226,pangoa,-12.1167,-73.0,20.19,75,7,1.32,PE,1726551468
227,inverloch,-38.6333,145.7167,12.99,63,100,6.85,AU,1726551469
228,valle nacional,17.7833,-96.3167,25.06,98,100,1.24,MX,1726551470
229,kailua-kona,19.6406,-155.9956,26.08,95,65,3.03,US,1726551471
230,hengshui,37.7322,115.7011,28.49,45,0,3.25,CN,1726551472
231,lloydminster,53.2835,-110.0016,11.12,76,0,1.03,CA,1726551228
232,margate,51.3813,1.3862,15.83,79,99,0.89,GB,1726551474
233,ancud,-41.8697,-73.8203,6.65,82,71,0.88,CL,1726551476
234,la ronge,55.1001,-105.2842,16.14,55,40,3.6,CA,1726551477
235,matehuala,23.65,-100.65,21.59,76,76,4.92,MX,1726551478
236,sanya,18.2431,109.505,31.09,74,0,3.0,CN,1726551479
237,ghat,24.9647,10.1728,31.35,23,65,2.94,LY,1726551480
238,impfondo,1.6381,18.0667,23.98,80,66,1.03,CG,1726551481
239,vorkuta,67.5,64.0,15.7,87,100,4.77,RU,1726551482
240,caconda,-13.7333,15.0667,18.83,60,2,0.28,AO,1726551483
241,axim,4.8699,-2.2405,23.21,94,4,2.78,GH,1726551484
242,capesterre-belle-eau,16.0432,-61.566,26.01,73,58,6.27,GP,1726551486
243,shamgarh,24.1833,75.6333,28.21,62,14,4.39,IN,1726551488
244,scottburgh,-30.2867,30.7532,18.78,88,100,2.32,ZA,1726551489
245,dadukou,26.5479,101.7054,30.01,53,30,0.98,CN,1726551490
246,buriti alegre,-18.14,-49.0403,19.75,58,20,1.18,BR,1726551491
247,vorgashor,67.5833,63.95,15.63,87,100,4.73,RU,1726551492
248,kajiado,-1.8524,36.7768,17.82,68,87,3.76,KE,1726551493
249,puerto ayacucho,5.6639,-67.6236,24.32,90,56,0.97,VE,1726551494
250,noumea,-22.2763,166.4572,20.29,55,5,5.28,NC,1726551495
251,barysh,53.6553,47.1123,19.65,52,0,3.58,RU,1726551496
252,olonkinbyen,70.9221,-8.7187,1.8,78,100,6.01,SJ,1726551497
253,veinticinco de mayo,-35.4323,-60.1727,11.66,80,100,1.34,AR,1726551499
254,karratha,-20.7377,116.8463,30.43,25,0,7.35,AU,1726551500
255,canico,32.6333,-16.85,22.78,90,40,4.63,PT,1726551501
256,mumbwa,-14.9783,27.0619,25.5,23,0,5.22,ZM,1726551502
257,bogale,16.2833,95.4,31.39,64,100,3.04,MM,1726551503
258,tobelo,1.7284,128.0095,30.54,65,100,3.28,ID,1726551504
259,yung shue wan,22.2333,114.1167,32.6,62,54,4.79,HK,1726551505
260,afaahiti,-17.75,-149.2833,23.9,89,88,5.24,PF,1726551506
261,coquimbo,-29.9533,-71.3436,11.1,91,100,2.06,CL,1726551252
262,kodiak,57.79,-152.4072,9.73,71,0,1.54,US,1726551508
263,seremban,2.7297,101.9381,31.51,81,90,3.17,MY,1726551510
264,tazovsky,67.4667,78.7,6.6,79,99,3.01,RU,1726551511
265,robertsport,6.7533,-11.3686,23.54,93,7,1.65,LR,1726551512
266,kiunga,-6.1219,141.2906,31.52,58,91,1.75,PG,1726551513
267,gostyn,51.8825,17.0123,13.34,76,6,3.58,PL,1726551514
268,sisimiut,66.9395,-53.6735,1.66,77,99,2.21,GL,1726551516
269,ebon,4.582,168.6964,29.18,64,33,1.63,MH,1726551518
270,haiku-pauwela,20.9219,-156.3051,25.07,78,40,8.49,US,1726551519
271,san patricio,28.017,-97.5169,23.97,78,0,3.41,US,1726551521
272,turkmenbasy,40.0222,52.9552,25.43,18,0,5.14,TM,1726551560
273,badger,64.8,-147.5333,6.57,90,100,4.63,US,1726551562
274,gaspe,48.8334,-64.4819,22.12,64,40,4.12,CA,1726551563
275,okha,53.5739,142.9478,12.21,84,100,5.37,RU,1726551564
276,lagoa,39.05,-27.9833,22.7,81,100,5.23,PT,1726551565
277,gadzhiyevo,69.2551,33.3362,9.27,93,99,5.37,RU,1726551566
278,fort wellington,6.4,-57.6,27.75,80,3,5.18,GY,1726551567
279,thinadhoo,0.5333,72.9333,29.17,74,36,4.18,MV,1726551568
280,dryden,49.7833,-92.7503,16.16,100,100,2.57,CA,1726551569
281,san antonio de pale,-1.4014,5.6325,24.72,85,100,6.58,GQ,1726551570
282,lubao,14.9167,120.55,26.84,71,100,1.15,PH,1726551573
283,alliance,40.9153,-81.1059,15.36,73,100,3.27,US,1726551574
284,walvis bay,-22.9575,14.5053,11.81,90,49,1.78,NA,1726551575
285,antofagasta,-23.65,-70.4,14.6,86,0,1.13,CL,1726551576
286,bugana,7.9992,7.5836,24.14,93,99,0.91,NG,1726551577
287,salinopolis,-0.6136,-47.3561,26.36,79,1,5.27,BR,1726551578
288,leava,-14.3,-178.1667,26.96,75,56,2.11,WF,1726551579
289,chardara,41.2547,67.9692,24.22,38,73,0.96,KZ,1726551580
290,okhotsk,59.3833,143.3,11.49,59,29,3.82,RU,1726551583
291,tete,-16.1564,33.5867,22.05,40,0,1.03,MZ,1726551584
292,tintafor,8.6267,-13.215,26.09,83,75,3.09,SL,1726551585
293,emerald,-23.5333,148.1667,26.66,19,100,2.85,AU,1726551587
294,mahdia,35.5047,11.0622,23.43,64,67,1.17,TN,1726551588
295,xichang,27.8964,102.2634,26.47,60,16,1.44,CN,1726551589
296,ardestan,33.3761,52.3694,26.71,26,0,1.9,IR,1726551590
297,yarmouth,41.7057,-70.2286,14.92,94,0,0.89,US,1726551591
298,nova londrina,-22.7658,-52.985,15.99,84,0,4.39,BR,1726551592
